Company Name,Company Rating,Company Review,Sector,Salary,About Company,Links
Ben Franklin Opticians,3.9,(410),Medical Equipment | Hyderabad / Secunderabad +107 other locations,1.1k,Medical Equipment | Hyderabad / Secunderabad +107 other locations,https://www.ambitionbox.com/overview/Ben Franklin Opticians-overview
Johnson Matthey,3.9,(412),Gurgaon / Gurugram +20 other locations,1.7k,Gurgaon / Gurugram +20 other locations,https://www.ambitionbox.com/overview/Johnson Matthey-overview
Carl Zeiss,3.6,(410),Semiconductors | Bangalore / Bengaluru +29 other locations,2.3k,Semiconductors | Bangalore / Bengaluru +29 other locations,https://www.ambitionbox.com/overview/Carl Zeiss-overview
Le Méridien,4.2,(406),Hospitality | New Delhi +24 other locations,1.1k,Hospitality | New Delhi +24 other locations,https://www.ambitionbox.com/overview/Le Méridien-overview
Gulf Oil Lubricants,4.1,(407),Oil & Gas | Mumbai +75 other locations,1.6k,Oil & Gas | Mumbai +75 other locations,https://www.ambitionbox.com/overview/Gulf Oil Lubricants-overview
Kellton,2.7,(410),IT Services & Consulting | Gurgaon / Gurugram +18 other locations,3.3k,IT Services & Consulting | Gurgaon / Gurugram +18 other locations,https://www.ambitionbox.com/overview/Kellton-overview
Capital Foods,4.1,(407),Food Processing | Mumbai +71 other locations,1.3k,Food Processing | Mumbai +71 other locations,https://www.ambitionbox.com/overview/Capital Foods-overview
Kirby Building Systems,4.0,(413),Engineering & Construction | Hyderabad / Secunderabad +30 other locations,1.7k,Engineering & Construction | Hyderabad / Secunderabad +30 other locations,https://www.ambitionbox.com/overview/Kirby Building Systems-overview
Aker Solutions,4.0,(405),Engineering & Construction | Pune +9 other locations,2.2k,Engineering & Construction | Pune +9 other locations,https://www.ambitionbox.com/overview/Aker Solutions-overview
Flowserve,3.9,(409),Industrial Machinery | Bangalore / Bengaluru +15 other locations,3k,Industrial Machinery | Bangalore / Bengaluru +15 other locations,https://www.ambitionbox.com/overview/Flowserve-overview
Aimil Pharmaceuticals,3.5,(407),Pharma | New Delhi +48 other locations,1.7k,Pharma | New Delhi +48 other locations,https://www.ambitionbox.com/overview/Aimil Pharmaceuticals-overview
Mobikwik,3.6,(409),FinTech | Gurgaon / Gurugram +36 other locations,2.2k,FinTech | Gurgaon / Gurugram +36 other locations,https://www.ambitionbox.com/overview/Mobikwik-overview
Cosmo Films,3.7,(413),Packaging | Aurangabad +12 other locations,1.9k,Packaging | Aurangabad +12 other locations,https://www.ambitionbox.com/overview/Cosmo Films-overview
Usha Martin,4.1,(406),Iron & Steel | Ranchi +27 other locations,1.3k,Iron & Steel | Ranchi +27 other locations,https://www.ambitionbox.com/overview/Usha Martin-overview
Aker Solutions,4.0,(405),Engineering & Construction | Pune +9 other locations,2.2k,Engineering & Construction | Pune +9 other locations,https://www.ambitionbox.com/overview/Aker Solutions-overview
Flowserve,3.9,(409),Industrial Machinery | Bangalore / Bengaluru +15 other locations,3k,Industrial Machinery | Bangalore / Bengaluru +15 other locations,https://www.ambitionbox.com/overview/Flowserve-overview
Usha Martin,4.1,(406),Iron & Steel | Ranchi +27 other locations,1.3k,Iron & Steel | Ranchi +27 other locations,https://www.ambitionbox.com/overview/Usha Martin-overview
Franchise India Brands,2.1,(406),Marketing & Advertising | New Delhi +27 other locations,1.4k,Marketing & Advertising | New Delhi +27 other locations,https://www.ambitionbox.com/overview/Franchise India Brands-overview
CommScope,3.7,(409),Telecom | Bangalore / Bengaluru +19 other locations,2.9k,Telecom | Bangalore / Bengaluru +19 other locations,https://www.ambitionbox.com/overview/CommScope-overview
Micron Technology,3.6,(405),Semiconductors | Hyderabad / Secunderabad +15 other locations,3.5k,Semiconductors | Hyderabad / Secunderabad +15 other locations,https://www.ambitionbox.com/overview/Micron Technology-overview
Visa,3.5,(406),FinTech | Bangalore / Bengaluru +16 other locations,4.6k,FinTech | Bangalore / Bengaluru +16 other locations,https://www.ambitionbox.com/overview/Visa-overview
Black Knight,3.6,(407),IT Services & Consulting | Hyderabad / Secunderabad +4 other locations,2.8k,IT Services & Consulting | Hyderabad / Secunderabad +4 other locations,https://www.ambitionbox.com/overview/Black Knight-overview
Country Delight,3.8,(416),Food Processing | Gurgaon / Gurugram +30 other locations,1.9k,Food Processing | Gurgaon / Gurugram +30 other locations,https://www.ambitionbox.com/overview/Country Delight-overview
Meghmani Organics,3.8,(406),Chemicals | Bharuch +25 other locations,2.1k,Chemicals | Bharuch +25 other locations,https://www.ambitionbox.com/overview/Meghmani Organics-overview
Ramco Industries,4.1,(406),Building Material | Chennai +68 other locations,1.7k,Building Material | Chennai +68 other locations,https://www.ambitionbox.com/overview/Ramco Industries-overview
Honeywell International India,4.0,(403),Defence & Aerospace | Pune +23 other locations,2.5k,Defence & Aerospace | Pune +23 other locations,https://www.ambitionbox.com/overview/Honeywell International India-overview
BharatPe,3.5,(402),FinTech | Gurgaon / Gurugram +70 other locations,2.3k,FinTech | Gurgaon / Gurugram +70 other locations,https://www.ambitionbox.com/overview/BharatPe-overview
Aptech,3.5,(404),Education & Training | Mumbai +69 other locations,1.7k,Education & Training | Mumbai +69 other locations,https://www.ambitionbox.com/overview/Aptech-overview
Shalimar Paints,3.5,(406),Chemicals | Gurgaon / Gurugram +75 other locations,1.5k,Chemicals | Gurgaon / Gurugram +75 other locations,https://www.ambitionbox.com/overview/Shalimar Paints-overview
Par Pharmaceutical Companies,4.3,(408),Pharma | Chennai +10 other locations,1.9k,Pharma | Chennai +10 other locations,https://www.ambitionbox.com/overview/Par Pharmaceutical Companies-overview
